Regulator	Target
Tcf3	Rap1b
Esrrb	Rbbp7
Nanog	Rbbp7
Sox2	Rbbp7
Tcf3	Rbbp7
Klf4	Rbm3
Zfp42	Rbm3
Esrrb	Rbms1
Nanog	Rbms1
Sox2	Rbms1
Suz12	Rbms1
Tbx3	Rbms1
Tcf3	Rbms1
Esrrb	Rbpj
Klf4	Rbpj
Esrrb	Rbpms2
Klf4	Rbpms2
Nanog	Rbpms2
Sox2	Rbpms2
Tcf3	Rbpms2
Klf4	Renbp
Sox2	Renbp
Nanog	Rex2
Sox2	Rex2
Tbx3	Rex2
Tcf3	Rex2
Esrrb	Rif1
Klf4	Rif1
Nanog	Rif1
Sox2	Rif1
Tbx3	Rif1
Tcf3	Rif1
Esrrb	Rock2
Klf4	Rock2
Suz12	Rock2
Tcf3	Rock2
Ezh2	Rorb
Suz12	Rorb
Esrrb	Rpl10a
Sox2	Rpl10a
Suz12	Rpl10a
Klf4	Rpl12
Sox2	Rpl12
Zfp42	Rpl12
Nanog	Rpl13
Klf4	Rpl13a
Nanog	Rpl13a
Sox2	Rpl13a
Zfp42	Rpl13a
Tbx3	Rpl14
Klf4	Rpl17
Tcf3	Rpl17
Esrrb	Rpl18
Klf4	Rpl18
Sox2	Rpl18
Tbx3	Rpl18
Klf4	Rpl18a
Nanog	Rpl18a
Suz12	Rpl18a
Tcf3	Rpl18a
Esrrb	Rpl22l1
Klf4	Rpl22l1
Suz12	Rpl22l1
Esrrb	Rpl23
Klf4	Rpl23
Nanog	Rpl23
Sox2	Rpl23
Nanog	Rpl23a
Sox2	Rpl23a
Tcf3	Rpl23a
Zfp42	Rpl23a
Zfp42	Rpl24
Esrrb	Rpl26
Tcf3	Rpl26
Esrrb	Rpl27
Klf4	Rpl27
Nanog	Rpl27
Sox2	Rpl27
Klf4	Rpl27a
Esrrb	Rpl3
Klf4	Rpl3
Sox2	Rpl3
Tcf3	Rpl3
Zfp42	Rpl3
Esrrb	Rpl30
Klf4	Rpl31
Sox2	Rpl31
Esrrb	Rpl34
Esrrb	Rpl35a
Zfp42	Rpl35a
Esrrb	Rpl36
Nanog	Rpl36
Zfp42	Rpl36
Klf4	Rpl36a
Klf4	Rpl37
Sox2	Rpl37
Esrrb	Rpl37a
Nanog	Rpl37a
Sox2	Rpl37a
Tcf3	Rpl39
Zfp42	Rpl39
Klf4	Rpl4
Tcf3	Rpl4
Zfp42	Rpl4
Esrrb	Rpl8
Klf4	Rpl8
Nanog	Rpl8
Dppa5a	Rplp2
Esrrb	Rplp2
Klf4	Rplp2
Nanog	Rplp2
Zfp42	Rplp2
Klf4	Rpn1
Esrrb	Rps10
Nanog	Rps10
Sox2	Rps10
Esrrb	Rps14
Klf4	Rps14
Nanog	Rps14
Sox2	Rps14
Tcf3	Rps14
Zfp42	Rps14
Esrrb	Rps15
Klf4	Rps15
Nanog	Rps15
Klf4	Rps15a
Esrrb	Rps17
Klf4	Rps17
Sox2	Rps17
Zfp42	Rps17
Klf4	Rps18
Nanog	Rps18
Sox2	Rps18
Zfp42	Rps18
Klf4	Rps19
Nanog	Rps19
Sox2	Rps19
Tcf3	Rps19
Klf4	Rps2
Nanog	Rps2
Tcf3	Rps2
Esrrb	Rps20
Klf4	Rps20
Nanog	Rps21
Sox2	Rps21
Klf4	Rps23
Nanog	Rps23
Sox2	Rps23
Tcf3	Rps23
Zfp42	Rps23
Esrrb	Rps24
Tbx3	Rps24
Tcf3	Rps24
Esrrb	Rps26
Klf4	Rps26
Nanog	Rps26
Sox2	Rps26
Tcf3	Rps26
Klf4	Rps27a
Tcf3	Rps27a
Zfp42	Rps27a
Klf4	Rps28
Esrrb	Rps29
Klf4	Rps29
Nanog	Rps29
Tcf3	Rps29
Nanog	Rps3
Klf4	Rps4x
Tcf3	Rps4x
Klf4	Rps5
Sox2	Rps5
Sox2	Rps7
Esrrb	Rras2
Sox2	Rras2
Suz12	Rras2
Nanog	Rrbp1
Tcf3	Rrbp1
Klf4	Sars
Nanog	Sars
Sox2	Sars
Tbx3	Sars
Tcf3	Sars
Klf4	Sash1
Nanog	Sash1
Sox2	Sash1
Tbx3	Sash1
Tcf3	Sash1
Klf4	Sc4mol
Tcf3	Sc4mol
Klf4	Scd1
Nanog	Scd1
Sox2	Scd1
Suz12	Scd1
Tcf3	Scd1
Klf4	Scd2
Nanog	Scd2
Sox2	Scd2
Suz12	Scd2
Tcf3	Scd2
Zfp42	Scd2
Zfp42	Sec23ip
Nanog	Sec61g
Suz12	Sec61g
Tcf3	Sec61g
Esrrb	Serpinh1
Klf4	Serpinh1
Mybl2	Serpinh1
Sox2	Serpinh1
Suz12	Serpinh1
Tcf3	Serpinh1
Esrrb	Sfpq
Klf4	Sfpq
Sox2	Sfpq
Tcf3	Sfpq
Zfp42	Sfpq
Esrrb	Sfrp1
Ezh2	Sfrp1
Klf4	Sfrp1
Nanog	Sfrp1
Sox2	Sfrp1
Suz12	Sfrp1
Tcf3	Sfrp1
Esrrb	Sfrp5
Ezh2	Sfrp5
Nanog	Sfrp5
Suz12	Sfrp5
Esrrb	Sgk1
Nanog	Sgk1
Suz12	Sgk1
Esrrb	Sh3glb1
Klf4	Sh3glb1
Nanog	Sh3glb1
Sox2	Sh3glb1
Suz12	Sh3glb1
Tbx3	Sh3glb1
Tcf3	Sh3glb1
Esrrb	Shmt2
Klf4	Shmt2
Nanog	Shmt2
Suz12	Shmt2
Esrrb	Ski
Klf4	Ski
Sox2	Ski
Suz12	Ski
Tbx3	Ski
Tcf3	Ski
Esrrb	Slc16a1
Klf4	Slc16a1
Nanog	Slc16a1
Sox2	Slc16a1
Esrrb	Slc25a13
Klf4	Slc25a13
Nanog	Slc25a13
Sox2	Slc25a13
Tcf3	Slc25a13
Esrrb	Slc25a36
Klf4	Slc25a36
Nanog	Slc25a36
Sox2	Slc25a36
Tbx3	Slc25a36
Tcf3	Slc25a36
Zfp42	Slc25a36
Esrrb	Slc2a1
Klf4	Slc2a1
Nanog	Slc2a1
Sox2	Slc2a1
Tcf3	Slc2a1
Esrrb	Slc2a3
Klf4	Slc2a3
Nanog	Slc2a3
Sox2	Slc2a3
Tcf3	Slc2a3
Esrrb	Slc39a14
Klf4	Slc39a14
Nanog	Slc39a14
Sox2	Slc39a14
Tbx3	Slc39a14
Tcf3	Slc39a14
Klf4	Slc39a6
Suz12	Slc39a6
Tcf3	Slc39a6
Ezh2	Slc7a14
Suz12	Slc7a14
Esrrb	Slc7a3
Klf4	Slc7a3
Nanog	Slc7a3
Sox2	Slc7a3
Tcf3	Slc7a3
Suz12	Slfn5
Klf4	Smc2
Tcf3	Snrpe
Sox2	Snrpg
Esrrb	Sod2
Klf4	Sod2
Nanog	Sod2
Sox2	Sod2
Esrrb	Sox11
Ezh2	Sox11
Klf4	Sox11
Mybl2	Sox11
Nanog	Sox11
Sox2	Sox11
Suz12	Sox11
Tbx3	Sox11
Tcf3	Sox11
Zfp42	Sox11
Esrrb	Sox2
Klf4	Sox2
Nanog	Sox2
Tcf3	Sox2
Esrrb	Sparc
Klf4	Sparc
Nanog	Sparc
Sox2	Sparc
Tbx3	Sparc
Tcf3	Sparc
Nanog	Spen
Suz12	Spen
Esrrb	Spp1
Klf4	Spp1
Nanog	Spp1
Sox2	Spp1
Suz12	Spp1
Tbx3	Spp1
Tcf3	Spp1
Nanog	Srp14
Tcf3	Srp14
Esrrb	Srprb
Tcf3	Srprb
Klf4	Ssb
Sox2	Ssb
Tcf3	Ssb
Esrrb	Ssbp3
Nanog	Ssbp3
Sox2	Ssbp3
Tcf3	Ssbp3
Esrrb	Ssr3
Esrrb	Ssrp1
Sox2	Ssrp1
Klf4	Stk38
Nanog	Stk38
Sox2	Stk38
Tbx3	Stk38
Tcf3	Stk38
Esrrb	Stmn2
Klf4	Stmn2
Nanog	Stmn2
Sox2	Stmn2
Suz12	Stmn2
Tcf3	Stmn2
Esrrb	Stra8
Klf4	Stra8
Nanog	Stra8
Sox2	Stra8
Tcf3	Stra8
Klf4	Surf4
Tcf3	Surf4
Esrrb	Suz12
Klf4	Suz12
Nanog	Suz12
Nanog	Taf9
Tbx3	Taf9
Esrrb	Tagln2
Klf4	Tagln2
Mybl2	Tagln2
Nanog	Tagln2
Sox2	Tagln2
Suz12	Tagln2
Tcf3	Tagln2
Nanog	Tars
Zfp42	Tars
Esrrb	Tbx3
Ezh2	Tbx3
Klf4	Tbx3
Mybl2	Tbx3
Nanog	Tbx3
Sox2	Tbx3
Suz12	Tbx3
Tcf3	Tbx3
Klf4	Tceal8
Nanog	Tceal8
Sox2	Tceal8
Suz12	Tceal8
Tcf3	Tceal8
Zfp42	Tceal8
Nanog	Tceb1
Sox2	Tceb1
Suz12	Tceb1
Tcf3	Tceb1
Esrrb	Tcf3
Klf4	Tcf3
Nanog	Tcf3
Sox2	Tcf3
Suz12	Tcf3
Tbx3	Tcf3
Esrrb	Tdgf1
Klf4	Tdgf1
Nanog	Tdgf1
Sox2	Tdgf1
Tcf3	Tdgf1
Zfp42	Tdgf1
Esrrb	Tdh
Klf4	Tdh
Nanog	Tdh
Sox2	Tdh
Tbx3	Tdh
Tcf3	Tdh
Esrrb	Tead2
Klf4	Tead2
Tcf3	Tead2
Tcf3	Tet1
Tbx3	Timm22
Zfp42	Timm22
Esrrb	Tmbim6
Nanog	Tmed2
Tcf3	Tmed2
Nanog	Tmem165
Sox2	Tmem69
Tcf3	Tmem69
Zfp42	Tmem69
Klf4	Tmpo
Tcf3	Tmpo
Esrrb	Tmsb4x
Klf4	Tmsb4x
Nanog	Tmsb4x
Sox2	Tmsb4x
Tcf3	Tmsb4x
Nanog	Top1
Sox2	Top1
Tbx3	Top1
Esrrb	Top2b
Klf4	Top2b
Nanog	Top2b
Suz12	Top2b
Tcf3	Top2b
Klf4	Tpd52
Nanog	Tpd52
Sox2	Tpd52
Tbx3	Tpd52
Tcf3	Tpd52
Esrrb	Tpi1
Klf4	Tpi1
Nanog	Tpi1
Sox2	Tpi1
Tbx3	Tpi1
Tcf3	Tpi1
Esrrb	Tpm1
Ezh2	Tpm1
Nanog	Tpm1
Sox2	Tpm1
Suz12	Tpm1
Tbx3	Tpm1
Esrrb	Tpm4
Klf4	Tpm4
Nanog	Tpm4
Sox2	Tpm4
Suz12	Tpm4
Tbx3	Tpm4
Tcf3	Tpm4
Esrrb	Tpt1
Klf4	Tpt1
Esrrb	Trh
Klf4	Trh
Nanog	Trh
Sox2	Trh
Suz12	Trh
Tbx3	Trh
Tcf3	Trh
Ezh2	Trim44
Klf4	Trim44
Nanog	Trim44
Sox2	Trim44
Suz12	Trim44
Tcf3	Trim44
Ezh2	Tshz1
Klf4	Tshz1
Sox2	Tshz1
Suz12	Tshz1
Tcf3	Tshz1
Klf4	Tspan3
Tcf3	Tspan3
Klf4	Ttc39b
Tcf3	Ttc39b
Nanog	Ttf1
Sox2	Ttf1
Tcf3	Ttf1
Klf4	Ttn
Nanog	Ttn
Sox2	Ttn
Tcf3	Ttn
Esrrb	Tuba1a
Klf4	Tuba1a
Nanog	Tuba1a
Suz12	Tuba1a
Tcf3	Tuba1a
Esrrb	Tuba1b
Klf4	Tuba1b
Esrrb	Tuba1c
Klf4	Tuba1c
Esrrb	Tubb5
Klf4	Tubb5
Nanog	Tubb5
Sox2	Tubb5
Zfp42	Tubb5
Esrrb	Tubb6
Nanog	Tubb6
Sox2	Tubb6
Suz12	Tubb6
Tbx3	Tubb6
Tcf3	Tubb6
Nanog	Txndc5
Tcf3	Txndc5
Klf4	Uba2
Sox2	Uba2
Esrrb	Ube2l3
Suz12	Ube2l3
Zfp42	Ube2l3
Mybl2	Ube2l6
Nanog	Ube2l6
Suz12	Ube2l6
Tuba1a	Ube2l6
Esrrb	Ube4b
Klf4	Ube4b
Tcf3	Ube4b
Esrrb	Ubqln2
Sox2	Ubqln2
Tbx3	Ubqln2
Esrrb	Ubr7
Klf4	Ubr7
Klf4	Ubxn2a
Sox2	Ubxn2a
Tcf3	Ubxn2a
Esrrb	Ulk1
Klf4	Ulk1
Nanog	Ulk1
Sox2	Ulk1
Suz12	Ulk1
Tbx3	Ulk1
Tcf3	Ulk1
Esrrb	Upp1
Klf4	Upp1
Nanog	Upp1
Sox2	Upp1
Suz12	Upp1
Tcf3	Upp1
Klf4	Usp22
Nanog	Usp22
Sox2	Usp22
Sox2	Usp9x
Suz12	Usp9x
Tcf3	Usp9x
Esrrb	Vamp3
Klf4	Vamp3
Nanog	Vamp3
Tcf3	Vamp3
Esrrb	Vdac1
Klf4	Vdac1
Nanog	Vdac1
Sox2	Vdac1
Esrrb	Vim
Ezh2	Vim
Klf4	Vim
Nanog	Vim
Sox2	Vim
Suz12	Vim
Tcf3	Vim
Esrrb	Wbp5
Klf4	Wbp5
Nanog	Wbp5
Sox2	Wbp5
Tcf3	Wbp5
Nanog	Wdr1
Sox2	Wdr1
Tcf3	Wdr1
Klf4	Whsc1
Nanog	Whsc1
Sox2	Whsc1
Suz12	Whsc1
Tcf3	Whsc1
Esrrb	Xaf1
Klf4	Xaf1
Klf4	Yes1
Nanog	Yes1
Sox2	Yes1
Tbx3	Yes1
Tcf3	Yes1
Klf4	Ywhaq
Nanog	Ywhaq
Sox2	Ywhaq
Tcf3	Ywhaq
Klf4	Ywhaz
Tcf3	Ywhaz
Esrrb	Zcchc11
Klf4	Zcchc11
Esrrb	Zfp326
Tcf3	Zfp326
Esrrb	Zfp42
Klf4	Zfp42
Nanog	Zfp42
Sox2	Zfp42
Tbx3	Zfp42
Tcf3	Zfp42
Suz12	Zfp488
Esrrb	Zfp664
Klf4	Zfp664
Suz12	Zfp664
Esrrb	Zfp703
Klf4	Zfp703
Suz12	Zfp703
Tcf3	Zfp703
Klf4	Zfp704
Nanog	Zfp704
Sox2	Zfp704
Tbx3	Zfp704
Tcf3	Zfp704
Zfp42	Zfp704
Klf4	Zfp71-rs1
Tcf3	Zfp71-rs1
Klf4	Zfp97
Tcf3	Zfp97
Esrrb	Zmiz1
Klf4	Zmiz1
Sox2	Zmiz1
Suz12	Zmiz1
Tcf3	Zmiz1
Esrrb	Zmym2
Esrrb	Zmynd11
Klf4	Zmynd11
Suz12	Zmynd11
