Regulator	Target
Ezh2	Crabp1
Klf4	Crabp1
Nanog	Crabp1
Sox2	Crabp1
Suz12	Crabp1
Tbx3	Crabp1
Tcf3	Crabp1
Esrrb	Crabp2
Klf4	Crabp2
Mybl2	Crabp2
Nanog	Crabp2
Sox2	Crabp2
Tcf3	Crabp2
Esrrb	Cst3
Klf4	Cst3
Nanog	Cst3
Sox2	Cst3
Tcf3	Cst3
Esrrb	Cstb
Klf4	Cstb
Nanog	Cstb
Sox2	Cstb
Tcf3	Cstb
Klf4	Cth
Nanog	Cth
Sox2	Cth
Tbx3	Cth
Tcf3	Cth
Esrrb	Ctsa
Sox2	Ctsa
Sox2	Ctsl
Tcf3	Ctsl
Esrrb	Cul1
Nanog	Cul1
Sox2	Cul1
Tcf3	Cul1
Esrrb	Cyb5r1
Klf4	Cyb5r1
Sox2	Cyb5r1
Tcf3	Cyb5r1
Nanog	Cycs
Esrrb	Cyp26a1
Ezh2	Cyp26a1
Klf4	Cyp26a1
Sox2	Cyp26a1
Suz12	Cyp26a1
Tcf3	Cyp26a1
Nanog	Cyp51
Sox2	Cyp51
Dppa5a	Dab2
Esrrb	Dab2
Klf4	Dab2
Mybl2	Dab2
Nanog	Dab2
Sox2	Dab2
Suz12	Dab2
Tcf3	Dab2
Esrrb	Dag1
Nanog	Dag1
Sox2	Dag1
Tcf3	Dag1
Zfp42	Dag1
Esrrb	Dbi
Tcf3	Dbi
Zfp42	Dbi
Suz12	Dcbld2
Tcf3	Dcbld2
Sox2	Dclre1c
Esrrb	Ddb1
Klf4	Ddb1
Klf4	Ddost
Nanog	Ddost
Nanog	Ddx3x
Sox2	Ddx3x
Tbx3	Ddx3x
Tcf3	Ddx3x
Nanog	Dek
Tbx3	Dek
Tcf3	Dek
Nanog	Dgcr8
Esrrb	Dhcr24
Sox2	Dhcr24
Esrrb	Dhrs3
Ezh2	Dhrs3
Nanog	Dhrs3
Sox2	Dhrs3
Suz12	Dhrs3
Tcf3	Dhrs3
Nanog	Dnaja1
Klf4	Dnajc10
Esrrb	Dppa5a
Sox2	Dppa5a
Tcf3	Dppa5a
Esrrb	Dpysl2
Klf4	Dpysl2
Sox2	Dpysl2
Suz12	Dpysl2
Tbx3	Dpysl2
Tcf3	Dpysl2
Esrrb	Dsg2
Klf4	Dsg2
Nanog	Dsg2
Sox2	Dsg2
Tcf3	Dsg2
Esrrb	Dusp9
Ezh2	Dusp9
Klf4	Dusp9
Nanog	Dusp9
Sox2	Dusp9
Suz12	Dusp9
Tcf3	Dusp9
Esrrb	Dynll1
Klf4	Dynll1
Sox2	Dynll1
Tcf3	Dynll1
Esrrb	Echdc2
Klf4	Echdc2
Nanog	Echdc2
Sox2	Echdc2
Tbx3	Echdc2
Tcf3	Echdc2
Sox2	Edem1
Tcf3	Edem1
Klf4	Eef1a1
Nanog	Eef1a1
Sox2	Eef1a1
Zfp42	Eef1a1
Esrrb	Eef1d
Nanog	Eef1d
Suz12	Eef1d
Nanog	Eif1b
Klf4	Eif2s2
Nanog	Eif2s2
Esrrb	Eif4a3
Esrrb	Eif4ebp1
Nanog	Eif4ebp1
Sox2	Eif4ebp1
Tbx3	Eif4ebp1
Esrrb	Eif4enif1
Klf4	Eif4enif1
Tcf3	Eif4enif1
Zfp42	Eif4g2
Esrrb	Eif5
Klf4	Eif5
Nanog	Eif5
Suz12	Eif5
Tcf3	Eif5
Zfp42	Eif5
Esrrb	Elavl1
Sox2	Elavl1
Tcf3	Elavl1
Nanog	Ell2
Sox2	Ell2
Tbx3	Ell2
Tcf3	Ell2
Esrrb	Emb
Nanog	Emb
Sox2	Emb
Tcf3	Emb
Esrrb	Eno1
Klf4	Eno1
Nanog	Eno1
Sox2	Eno1
Tcf3	Eno1
Zfp42	Eno1
Esrrb	Eny2
Dppa5a	Epas1
Esrrb	Epas1
Ezh2	Epas1
Klf4	Epas1
Nanog	Epas1
Sox2	Epas1
Suz12	Epas1
Zfp42	Epas1
Esrrb	Epha4
Ezh2	Epha4
Klf4	Epha4
Nanog	Epha4
Sox2	Epha4
Suz12	Epha4
Tbx3	Epha4
Tcf3	Epha4
Zfp42	Epha4
Esrrb	Ephx2
Klf4	Ephx2
Nanog	Ephx2
Sox2	Ephx2
Suz12	Ephx2
Tcf3	Ephx2
Esrrb	Ept1
Dppa5a	Esrrb
Ezh2	Esrrb
Klf4	Esrrb
Nanog	Esrrb
Sox2	Esrrb
Suz12	Esrrb
Tcf3	Esrrb
Esrrb	Etv5
Klf4	Etv5
Nanog	Etv5
Sox2	Etv5
Tcf3	Etv5
Zfp42	Etv5
Nanog	Exosc2
Tcf3	Exosc2
Zfp42	Exosc2
Esrrb	Ext1
Klf4	Ext1
Nanog	Ext1
Sox2	Ext1
Tbx3	Ext1
Tcf3	Ext1
Nanog	Ezh2
Sox2	Ezh2
Tbx3	Ezh2
Tcf3	Ezh2
Esrrb	F11r
Nanog	F11r
Sox2	F11r
Tbx3	F11r
Esrrb	Fabp3
Klf4	Fabp3
Mybl2	Fabp3
Nanog	Fabp3
Sox2	Fabp3
Suz12	Fabp3
Tbx3	Fabp3
Tcf3	Fabp3
Ezh2	Fabp5
Klf4	Fabp5
Tbx3	Fabp5
Esrrb	Fam64a
Tcf3	Fam64a
Esrrb	Fasn
Nanog	Fasn
Sox2	Fasn
Tcf3	Fasn
Esrrb	Fau
Esrrb	Fblim1
Klf4	Fblim1
Nanog	Fblim1
Sox2	Fblim1
Tbx3	Fblim1
Tcf3	Fblim1
Esrrb	Fbxo15
Klf4	Fbxo15
Nanog	Fbxo15
Sox2	Fbxo15
Suz12	Fbxo15
Tcf3	Fbxo15
Esrrb	Fdps
Klf4	Fdps
Esrrb	Fgf4
Klf4	Fgf4
Nanog	Fgf4
Sox2	Fgf4
Tcf3	Fgf4
Suz12	Flna
Tcf3	Flna
Klf4	Flrt3
Nanog	Flrt3
Sox2	Flrt3
Suz12	Flrt3
Tcf3	Flrt3
Zfp42	Flrt3
Klf4	Fn1
Nanog	Fn1
Sox2	Fn1
Suz12	Fn1
Tcf3	Fn1
Nanog	Folr1
Sox2	Folr1
Tcf3	Folr1
Zfp42	Folr1
Klf4	Fth1
Nanog	Fth1
Sox2	Fth1
Tcf3	Fth1
Esrrb	Ftl1
Klf4	Ftl1
Nanog	Ftl1
Sox2	Ftl1
Tcf3	Ftl1
Zfp42	Ftl1
Esrrb	Fubp1
Klf4	Fubp1
Sox2	Fubp1
Tcf3	Fubp1
Esrrb	Fut8
Nanog	Fut8
Tcf3	Fut8
Esrrb	Fxyd6
Klf4	Fxyd6
Nanog	Fxyd6
Sox2	Fxyd6
Tbx3	Fxyd6
Zfp42	Fxyd6
