Regulator	Target
NANOG	DNMT3B
JARID2	DNMT3B
MSC	DNMT3B
TBX3	DNMT3B
KLF4	DNMT3B
SALL4	DNMT3B
NANOG	RERE
SOX2	MSC
ESRRB	MSC
NR0B1	MSC
ZFP42	MSC
POU5F1	MSC
NANOG	MSC
TBX3	MSC
KLF4	MSC
ESRRB	TRP53
POU5F1	TRP53
JARID2	TRP53
SALL4	TRP53
SOX2	ZFP57
ESRRB	ZFP57
NR0B1	ZFP57
POU5F1	ZFP57
NANOG	ZFP57
MYCN	ZFP57
TBX3	ZFP57
KLF4	ZFP57
SALL4	ZFP57
SOX2	ZFP710
ESRRB	ZFP710
POU5F1	ZFP710
NANOG	ZFP710
SOX2	MYCN
ESRRB	MYCN
SOX17	MYCN
NR0B1	MYCN
POU5F1	MYCN
NANOG	MYCN
TBX3	MYCN
KLF4	MYCN
REST	MYCN
SALL4	MYCN
SOX2	BCL3
ESRRB	BCL3
NR0B1	BCL3
POU5F1	BCL3
NANOG	BCL3
KLF4	BCL3
REST	BCL3
SOX2	GATA6
ESRRB	GATA6
SOX17	GATA6
NR0B1	GATA6
NANOG	GATA6
JARID2	GATA6
MSC	GATA6
MYCN	GATA6
MYBL2	GATA6
KLF4	GATA6
TCF7L2	GATA6
SOX2	HOPX
ESRRB	HOPX
JARID2	HOPX
ID1	HOPX
SMAD7	HOPX
KLF4	HOPX
SOX2	ID1
ESRRB	ID1
NR0B1	ID1
POU5F1	ID1
NANOG	ID1
MSC	ID1
SMAD7	ID1
TBX3	ID1
KLF4	ID1
TCF7L2	ID1
SALL4	ID1
ESRRB	HNF1B
JARID2	HNF1B
SOX2	L3MBTL3
POU5F1	L3MBTL3
NANOG	L3MBTL3
JARID2	L3MBTL3
KLF4	L3MBTL3
SOX2	KLF3
ESRRB	KLF3
POU5F1	KLF3
NANOG	KLF3
KLF4	KLF3
REST	KLF3
SOX2	DNMT3L
ESRRB	DNMT3L
POU5F1	DNMT3L
NANOG	DNMT3L
JARID2	DNMT3L
KLF4	DNMT3L
SALL4	DNMT3L
SOX2	SMAD7
ESRRB	SMAD7
NR0B1	SMAD7
ZFP42	SMAD7
POU5F1	SMAD7
NANOG	SMAD7
JARID2	SMAD7
MYCN	SMAD7
KLF4	SMAD7
SALL4	SMAD7
SOX2	KLF10
POU5F1	KLF10
NANOG	KLF10
KLF4	KLF10
SOX2	TBX3
ESRRB	TBX3
NR0B1	TBX3
POU5F1	TBX3
NANOG	TBX3
JARID2	TBX3
MSC	TBX3
MYBL2	TBX3
KLF4	TBX3
REST	TBX3
SALL4	TBX3
ESRRB	GLI1
NR0B1	GLI1
POU5F1	GLI1
NANOG	GLI1
KLF4	GLI1
RHOX6	GLI1
SOX2	FOXD3
