"from" "to" "from_module" "to_module" "effect" "strength" "cooperativity" "max_protein" "k"
"54" "A1_TF2" "Target8" NA NA "-1" " 1.222045" "1.3060655" "172.34014" " 70.5130192"
"55" "B3_TF3" "Target9" NA NA " 1" "34.210463" "0.6039294" "184.42432" "  2.6954374"
"56" "Target1" "Target10" NA NA " 1" " 1.152112" "1.8849025" " 51.87502" " 22.5130066"
"57" "A1_TF2" "Target11" NA NA " 1" "80.752195" "1.4877206" "172.34014" "  1.0670926"
"58" "B4_TF2" "Target12" NA NA "-1" " 3.360412" "0.7309195" "293.81224" " 43.7166979"
"59" "B1_TF7" "Target13" NA NA "-1" "66.787727" "1.1937619" "156.08355" "  1.1685047"
"60" "B4_TF2" "Target14" NA NA " 1" " 6.010186" "1.9699758" "293.81224" " 24.4428561"
"61" "B4_TF9" "Target15" NA NA " 1" "53.521007" "1.4779831" "117.30229" "  1.0958528"
"62" "B4_TF7" "Target16" NA NA " 1" "58.630467" "1.8551437" "163.22931" "  1.3920179"
"63" "B4_TF9" "Target17" NA NA " 1" "35.298993" "0.7619356" "117.30229" "  1.6615529"
"64" "Target2" "Target18" NA NA "-1" "90.984297" "1.9151102" "187.14040" "  1.0284214"
"65" "B4_TF7" "Target19" NA NA " 1" " 6.420025" "1.5660244" "163.22931" " 12.7125144"
"66" "Target1" "Target20" NA NA " 1" "20.021953" "1.8551893" " 51.87502" "  1.2954536"
"67" "Target3" "Target21" NA NA " 1" " 2.788788" "0.8822436" "145.90616" " 26.1594251"
"68" "Target1" "Target22" NA NA "-1" " 1.483603" "0.9493260" " 51.87502" " 17.4827828"
"69" "B4_TF6" "Target23" NA NA " 1" " 1.481103" "1.2897014" "280.30281" " 94.6264002"
"70" "B4_TF2" "Target24" NA NA " 1" " 8.092016" "0.6559356" "293.81224" " 18.1544529"
"71" "B4_TF2" "Target25" NA NA " 1" "33.238235" "1.8556878" "293.81224" "  4.4197930"
"72" "A1_TF2" "Target26" NA NA " 1" " 2.509342" "0.7531025" "172.34014" " 34.3397146"
"73" "Target3" "Target27" NA NA "-1" " 5.558816" "0.9751786" "145.90616" " 13.1238528"
"74" "B4_TF2" "Target28" NA NA " 1" " 6.770818" "1.9569894" "293.81224" " 21.6969544"
"75" "B1_TF7" "Target29" NA NA " 1" " 3.348478" "0.8434880" "156.08355" " 23.3066436"
"76" "Target3" "Target30" NA NA " 1" "48.320675" "1.6899718" "145.90616" "  1.5097695"
"77" "Target4" "Target31" NA NA " 1" "14.307809" "1.3145364" "149.31368" "  5.2179087"
"78" "B1_TF7" "Target32" NA NA " 1" "69.186899" "1.7702905" "156.08355" "  1.1279849"
"79" "B4_TF6" "Target33" NA NA " 1" "13.144352" "1.2295854" "280.30281" " 10.6624811"
"80" "A1_TF2" "Target34" NA NA " 1" " 6.576830" "1.2609819" "172.34014" " 13.1020684"
"81" "B4_TF2" "Target35" NA NA " 1" "42.995810" "0.6219095" "293.81224" "  3.4167543"
"82" "B4_TF9" "Target36" NA NA "-1" " 1.539453" "1.4333973" "117.30229" " 38.0987005"
"83" "B4_TF6" "Target37" NA NA "-1" "19.085765" "0.5111350" "280.30281" "  7.3432428"
"84" "B3_TF3" "Target38" NA NA "-1" "15.963110" "1.8723619" "184.42432" "  5.7765786"
"85" "B4_TF6" "Target39" NA NA " 1" " 3.346988" "1.0675611" "280.30281" " 41.8738852"
"86" "Target1" "Target40" NA NA "-1" " 4.936167" "0.5599096" " 51.87502" "  5.2545850"
"87" "Target4" "Target41" NA NA " 1" " 5.524130" "1.2313534" "149.31368" " 13.5146775"
"88" "Target5" "Target42" NA NA " 1" " 2.382635" "1.6923991" " 93.50343" " 19.6218553"
"89" "B1_TF7" "Target43" NA NA " 1" " 1.836361" "1.3957961" "156.08355" " 42.4980603"
"90" "Target6" "Target44" NA NA " 1" " 4.446928" "1.4483436" " 89.63327" " 10.0781123"
"91" "B1_TF7" "Target45" NA NA "-1" "12.624196" "0.9807502" "156.08355" "  6.1819207"
"92" "A1_TF2" "Target46" NA NA " 1" "15.479973" "1.7439474" "172.34014" "  5.5665519"
"93" "B4_TF6" "Target47" NA NA " 1" " 4.441271" "1.8023193" "280.30281" " 31.5565988"
"94" "Target1" "Target48" NA NA " 1" "55.304109" "1.5264705" " 51.87502" "  0.4689979"
"95" "A1_TF2" "Target49" NA NA "-1" " 1.930464" "0.7069096" "172.34014" " 44.6369756"
"96" "Target6" "Target50" NA NA "-1" "15.508804" "0.9862567" " 89.63327" "  2.8897546"
"97" "Target2" "Target51" NA NA " 1" "29.734353" "1.6338625" "187.14040" "  3.1468720"
"98" "Target5" "Target52" NA NA "-1" "12.551607" "1.7506750" " 93.50343" "  3.7247592"
"99" "B4_TF2" "Target53" NA NA " 1" "15.965270" "1.0499644" "293.81224" "  9.2016055"
"100" "B3_TF3" "Target54" NA NA " 1" "99.803208" "1.2581337" "184.42432" "  0.9239399"
"101" "B4_TF6" "Target55" NA NA " 1" " 6.533852" "0.9136656" "280.30281" " 21.4500424"
"102" "Target5" "Target56" NA NA "-1" " 1.829939" "0.7651017" " 93.50343" " 25.5482396"
"103" "B1_TF7" "Target57" NA NA " 1" "19.468443" "0.6487760" "156.08355" "  4.0086295"
"104" "A1_TF2" "Target58" NA NA " 1" "68.592845" "0.6457305" "172.34014" "  1.2562545"
"105" "Target4" "Target59" NA NA " 1" " 1.683574" "1.1755143" "149.31368" " 44.3442704"
"106" "B4_TF7" "Target60" NA NA "-1" "54.369976" "0.6142089" "163.22931" "  1.5010979"
"107" "Target1" "Target61" NA NA "-1" "20.175930" "1.7121716" " 51.87502" "  1.2855670"
"108" "Target4" "Target62" NA NA " 1" "22.508112" "0.7888902" "149.31368" "  3.3168859"
"109" "B3_TF3" "Target63" NA NA " 1" "12.725331" "1.1300748" "184.42432" "  7.2463468"
"110" "B4_TF9" "Target64" NA NA "-1" " 2.186759" "1.7028617" "117.30229" " 26.8210392"
"111" "B1_TF7" "Target65" NA NA " 1" "37.066237" "1.6536162" "156.08355" "  2.1054680"
"112" "Target4" "Target66" NA NA " 1" "48.757658" "1.5580045" "149.31368" "  1.5311818"
"113" "B4_TF2" "Target67" NA NA " 1" " 2.583180" "1.1648458" "293.81224" " 56.8702547"
"114" "B4_TF2" "Target68" NA NA " 1" " 1.314975" "1.9325217" "293.81224" "111.7178250"
"115" "Target6" "Target69" NA NA " 1" " 3.085858" "1.9358110" " 89.63327" " 14.5232346"
"116" "Target3" "Target70" NA NA "-1" " 3.710490" "0.9667510" "145.90616" " 19.6613081"
"117" "B4_TF9" "Target71" NA NA " 1" "27.163080" "0.8677315" "117.30229" "  2.1592228"
"118" "B4_TF2" "Target72" NA NA " 1" " 9.479544" "1.7202504" "293.81224" " 15.4971716"
"119" "B1_TF7" "Target73" NA NA " 1" " 9.849721" "1.1337970" "156.08355" "  7.9232477"
"120" "A1_TF2" "Target74" NA NA " 1" "26.155844" "1.5937241" "172.34014" "  3.2944864"
"121" "Target1" "Target75" NA NA " 1" "33.477527" "1.1529870" " 51.87502" "  0.7747738"
"122" "Target4" "Target76" NA NA " 1" " 2.049703" "1.4993420" "149.31368" " 36.4232466"
"123" "B3_TF3" "Target77" NA NA " 1" " 2.375822" "1.8756136" "184.42432" " 38.8127436"
"124" "B4_TF2" "Target78" NA NA " 1" "51.065143" "1.2068016" "293.81224" "  2.8768375"
"125" "Target5" "Target79" NA NA " 1" " 7.220745" "1.0392658" " 93.50343" "  6.4746382"
"126" "Target7" "Target80" NA NA " 1" " 8.373335" "1.0253621" "138.50322" "  8.2704934"
"127" "B3_TF3" "Target81" NA NA "-1" "92.775980" "1.9681568" "184.42432" "  0.9939228"
"128" "Target7" "Target82" NA NA " 1" "92.657346" "1.4228769" "138.50322" "  0.7473947"
"129" "B4_TF6" "Target83" NA NA " 1" "43.218927" "1.3914853" "280.30281" "  3.2428248"
"130" "Target7" "Target84" NA NA " 1" " 5.414472" "1.5314633" "138.50322" " 12.7900956"
"131" "Target1" "Target85" NA NA " 1" " 5.415038" "1.5265432" " 51.87502" "  4.7899037"
"132" "B1_TF7" "Target86" NA NA " 1" " 1.252790" "1.5443868" "156.08355" " 62.2943916"
"133" "B4_TF6" "Target87" NA NA " 1" " 3.110467" "1.0733726" "280.30281" " 45.0579922"
"134" "Target4" "Target88" NA NA " 1" "27.279463" "1.2797509" "149.31368" "  2.7367415"
"135" "Target6" "Target89" NA NA " 1" " 1.372119" "0.9169983" " 89.63327" " 32.6623461"
"136" "Target5" "Target90" NA NA " 1" " 6.740293" "1.7908484" " 93.50343" "  6.9361544"
"137" "B4_TF9" "Target91" NA NA "-1" "19.274877" "1.3110543" "117.30229" "  3.0428804"
"138" "Target7" "Target92" NA NA " 1" "23.166768" "1.4789389" "138.50322" "  2.9892651"
"139" "Target6" "Target93" NA NA " 1" " 1.124177" "1.1210551" " 89.63327" " 39.8661739"
"140" "Target6" "Target94" NA NA "-1" "74.602012" "1.8164161" " 89.63327" "  0.6007430"
"141" "Target5" "Target95" NA NA "-1" "21.964820" "1.3739741" " 93.50343" "  2.1284815"
"142" "B4_TF7" "Target96" NA NA "-1" " 2.946979" "1.5157360" "163.22931" " 27.6943495"
"143" "B1_TF7" "Target97" NA NA " 1" "96.047853" "1.5011161" "156.08355" "  0.8125301"
"144" "B4_TF6" "Target98" NA NA "-1" "73.880884" "0.6342401" "280.30281" "  1.8969915"
"145" "Target1" "Target99" NA NA " 1" " 1.133453" "1.1379642" " 51.87502" " 22.8836215"
"146" "B4_TF7" "Target100" NA NA "-1" "20.335310" "1.6057963" "163.22931" "  4.0134455"
"147" "HK4" "HK9" NA NA "-1" " 1.122431" "1.9127344" "144.47028" " 64.3559985"
"148" "HK2" "HK4" NA NA " 1" " 2.176162" "1.8276476" "135.13508" " 31.0489533"
"149" "HK2" "HK6" NA NA " 1" "19.805028" "0.6005040" "135.13508" "  3.4116356"
"150" "HK2" "HK7" NA NA " 1" " 2.970347" "1.3854797" "135.13508" " 22.7473550"
"151" "HK2" "HK8" NA NA " 1" "13.830274" "1.5574738" "135.13508" "  4.8854806"
"152" "HK2" "HK9" NA NA " 1" "21.299793" "1.0439549" "135.13508" "  3.1722156"
"153" "HK2" "HK10" NA NA " 1" "29.448278" "0.9427756" "135.13508" "  2.2944478"
"154" "HK2" "HK11" NA NA "-1" " 6.739889" "1.1167802" "135.13508" " 10.0250216"
"155" "HK2" "HK12" NA NA " 1" " 2.150402" "1.1846417" "135.13508" " 31.4208892"
"156" "HK2" "HK13" NA NA " 1" "13.857180" "1.9107181" "135.13508" "  4.8759950"
"157" "HK2" "HK14" NA NA "-1" "14.601822" "0.5394162" "135.13508" "  4.6273362"
"158" "HK2" "HK15" NA NA " 1" " 7.976871" "0.6441230" "135.13508" "  8.4704309"
"159" "HK2" "HK1" NA NA " 1" " 1.446647" "1.7518942" "135.13508" " 46.7062981"
"160" "HK5" "HK2" NA NA "-1" " 1.114474" "0.6145070" "357.09281" "160.2068500"
"161" "HK6" "HK7" NA NA " 1" "24.226355" "1.5625605" " 91.14108" "  1.8810316"
"162" "HK7" "HK11" NA NA " 1" "13.695491" "0.7888772" "127.33467" "  4.6487809"
"163" "HK8" "HK12" NA NA " 1" "35.010368" "1.9037390" "126.99615" "  1.8136935"
"164" "HK3" "HK1" NA NA " 1" "36.398054" "0.5554630" "144.09702" "  1.9794605"
